,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
2741,-73.9628041577934,40.7884180156055,28D-AM-1012-06,28D,AM,10122018,6,Juvenile,Cinnamon,White,Cinnamon+White,,Above Ground,5,,False,False,False,True,False,,False,False,False,False,False,False,False,True,,POINT (-73.9628041577934 40.78841801560551)
2744,-73.97296259363,40.7652601851275,1I-PM-1012-04,01I,PM,10122018,4,Juvenile,Cinnamon,White,Cinnamon+White,Cinnamon & White selected as Primary. Cinnamon & White selected as Highlights. Made executive adjustments.,Above Ground,2,on ledge,False,False,True,False,False,,False,False,False,False,True,False,False,True,,POINT (-73.97296259363 40.7652601851275)
2745,-73.9561432836863,40.7982665347234,41C-AM-1017-07,41C,AM,10172018,7,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9561432836863 40.7982665347234)
2751,-73.972069937746,40.7659402627832,3I-PM-1013-04,03I,PM,10132018,4,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.97206993774601 40.7659402627832)
2752,-73.9681090824978,40.7838275830328,22B-PM-1014-04,22B,PM,10142018,4,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9681090824978 40.7838275830328)
2756,-73.9671419119456,40.7758602486862,14G-AM-1012-01,14G,AM,10122018,1,Adult,Cinnamon,Black,Cinnamon+Black,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,False,True,,POINT (-73.9671419119456 40.7758602486862)
2760,-73.9689204258063,40.7712540588951,9I-AM-1014-01,09I,AM,10142018,1,Adult,Cinnamon,"Black, White","Cinnamon+Black, White","Black on body, White Belly, White tail",Ground Plane,FALSE,,False,False,False,False,True,digging deeeep,False,False,False,False,False,False,True,False,,POINT (-73.9689204258063 40.7712540588951)
2763,-73.9692660977515,40.7830532310766,21B-PM-1017-01,21B,PM,10172018,1,Juvenile,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,False,False,paused to look at me,POINT (-73.9692660977515 40.7830532310766)
2778,-73.9767835160078,40.7674030330482,2E-PM-1014-04,02E,PM,10142018,4,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,15,,False,False,True,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9767835160078 40.7674030330482)
2786,-73.9765306970303,40.7694956875859,4D-PM-1008-09,04D,PM,10082018,9,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,,,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9765306970303 40.7694956875859)
